Subject,Alpha,Final_Heading,Final_Stdev,Trial_Number
6,40,-18.6144,1.4932,39
6,0,-1.9519,0.73503,40
6,90,-37.2195,4.5664,41
6,20,-1.67,2.1748,42
6,60,-19.2838,4.9855,43
6,40,11.859,1.0482,44
6,70,21.7545,3.3327,45
6,30,12.8911,1.1474,46
6,60,-17.3192,7.2208,47
6,80,-39.4715,13.2066,48
6,0,1.7139,1.4449,49
6,0,-1.9118,0.23315,50
6,40,10.3333,1.5696,51
6,120,-56.3816,7.6267,52
6,70,32.6005,4.9903,53
6,80,-34.332,1.8912,54
6,120,-57.6867,1.6609,55
6,40,-16.6153,2.0508,56
6,0,0.3977,3.0777,57
6,80,-31.8622,2.0548,58
6,60,-28.4401,7.7586,59
6,120,-51.2662,4.1522,60
6,50,-9.0566,5.9765,61
6,120,55.6622,5.3706,62
6,0,3.3444,1.7727,63
6,40,7.2932,1.894,64
6,30,10.4393,2.3244,65
6,40,9.8736,4.6916,66
6,90,-38.778,1.8439,67
6,50,-16.3986,1.8795,68
6,90,40.0721,2.1922,69
6,20,-3.2753,2.9176,70
6,80,-38.0169,3.3081,71
6,0,-3.2758,0.93212,72
6,120,64.8452,8.4432,73
6,90,-43.2648,4.4637,74
6,30,-8.4885,3.8639,75
6,60,26.2369,2.0943,76
6,30,-7.1955,1.2774,77
6,120,58.6989,6.083,78
6,70,22.9595,2.8046,79
6,0,-1.4552,0.79632,80
6,50,-24.7412,7.153,81
6,70,-34.7138,4.2236,82
6,40,-14.3902,1.1742,83
6,20,6.8561,2.5159,84
6,60,-25.6268,0.72228,85
6,70,-31.1243,8.9209,86
6,90,-43.4167,8.5997,87
6,120,53.986,9.9754,88
6,50,2.2054,2.5567,89
6,80,-36.7128,4.2802,90
6,70,25.2174,9.4775,91
6,60,24.0262,4.8289,92
6,60,32.6531,8.9534,93
6,30,-7.708,1.2563,94
6,20,9.9946,4.0464,95
6,80,40.4844,2.3206,96
6,90,-48.6264,8.0255,97
6,70,27.5956,4.9462,98
6,50,-17.6668,1.1266,99
6,0,2.5715,1.2385,100
13,60,-9.7362,2.0034,1
